athlete_id,first,last,gender,event_group,tfrrs_url
128,Maddy,Troy,W,jumps,https://www.tfrrs.org/athletes/7712291/Milwaukee/Maddy_Troy.html
129,Chieme,Udaku,W,jumps,https://www.tfrrs.org/athletes/7531566/Milwaukee/Chieme_Udaku.html
130,Ashlyn,Uebersetzig,W,sprints,https://www.tfrrs.org/athletes/8016734/Milwaukee/Ashlyn_Uebersetzig.html
131,Edgardo,Valdes Gonzalez,M,sprints,https://www.tfrrs.org/athletes/7383547/Milwaukee/Edgardo_Valdes.html
132,Olivia,VanZeeland,W,jumps,https://www.tfrrs.org/athletes/8329630/Milwaukee/Olivia_VanZeeland.html
133,Austin,Villarreal,M,jumps,https://www.tfrrs.org/athletes/8690916/Milwaukee/Austin_Villarreal.html
134,Brendan,Vlasak,M,sprints,https://www.tfrrs.org/athletes/9265416/Milwaukee/Brendan_Vlasak.html
135,Nadia,Vo,W,jumps,https://www.tfrrs.org/athletes/7712292/Milwaukee/Nadia_Vo.html
136,Kortnie,Volk,W,multi,https://www.tfrrs.org/athletes/7712293/Milwaukee/Kortnie_Volk.html
137,Kallie,Volk,W,multi,https://www.tfrrs.org/athletes/8690933/Milwaukee/Kallie_Volk.html
138,Devin,Wagner,W,jumps,https://www.tfrrs.org/athletes/7531567/Milwaukee/Devin_Wagner.html
139,Austin,Wallace,M,multi,https://www.tfrrs.org/athletes/7033457/Milwaukee/Austin_Wallace.html
140,Kate,Watson,W,jumps,https://www.tfrrs.org/athletes/7033466/Milwaukee/Kate_Watson.html
141,Mason,Weaver,M,jumps,https://www.tfrrs.org/athletes/8690917/Milwaukee/Mason_Weaver.html
142,Tabitha,Wechlo,W,throws,https://www.tfrrs.org/athletes/7712294/Milwaukee/Tabitha_Wechlo.html
143,Zach,Weitgenant,M,sprints,https://www.tfrrs.org/athletes/8690918/Milwaukee/Zach_Weitgenant.html
144,Lilly,Wepking,W,sprints,https://www.tfrrs.org/athletes/8997158/Milwaukee/Lilly_Wepking.html
145,Kalea,Weyenberg,W,sprints,https://www.tfrrs.org/athletes/8329636/Milwaukee/Kalea_Weyenberg.html
146,Lauren,Wickus,W,jumps,https://www.tfrrs.org/athletes/9265426/Milwaukee/Lauren_Wickus.html
147,Frank,Wiedmeyer,M,jumps,https://www.tfrrs.org/athletes/9265417/Milwaukee/Frank_Wiedmeyer.html
148,Jayde,Wollenberg,W,jumps,https://www.tfrrs.org/athletes/6589881/Milwaukee/Jayde_Wollenberg.html
149,Macy,Woodward,W,jumps,https://www.tfrrs.org/athletes/8329631/Milwaukee/Macy_Woodward.html
