athlete_id,meet_name,meet_date,event,result_distance,result_time,wind
8,44 Farms Team Invitational,2022-04-08,200,,24.36,(4.9)
8,44 Farms Team Invitational,2022-04-08,LJ,5.38,,(2.0)
8,44 Farms Team Invitational,2022-04-08,JT,23.37,,
8,44 Farms Team Invitational,2022-04-08,800,,2:21.33,
8,Redbird Invite,2022-04-01,100H,,13.98,(2.2)
8,Redbird Invite,2022-04-01,400H,,1:01.25,
8,Redbird Invite,2022-04-01,JT,16.75,,
8,Horizon League Indoor Track & Field Championships,2022-02-26,400,,55.78,
8,Horizon League Indoor Track & Field Championships,2022-02-26,400,,56.12,
8,Horizon League Indoor Track & Field Championships,2022-02-26,60H,,8.52,
8,Horizon League Indoor Track & Field Championships,2022-02-26,60H,,8.49,
8,Horizon League Indoor Track & Field Championships,2022-02-26,Pent,,3722,
8,Horizon League Indoor Track & Field Championships,2022-02-26,60H,,8.50,
8,Horizon League Indoor Track & Field Championships,2022-02-26,HJ,1.62,,
8,Horizon League Indoor Track & Field Championships,2022-02-26,SP,9.93,,
8,Horizon League Indoor Track & Field Championships,2022-02-26,LJ,5.4,,
8,Horizon League Indoor Track & Field Championships,2022-02-26,800,,2:25.56,
8,St. Valentines Open,2022-02-18,60H,,8.53,
8,St. Valentines Open,2022-02-18,60H,,8.61,
8,St. Valentines Open,2022-02-18,LJ,5.55,,
8,2022 Hoosier Hills,2022-02-11,200,,24.73,
8,2022 Hoosier Hills,2022-02-11,60H,,8.40,
8,2022 Hoosier Hills,2022-02-11,60H,,8.55,
8,2022 Hoosier Hills,2022-02-11,HJ,,,
8,Red Hawk Invite,2022-02-05,400,,56.60,
8,Red Hawk Invite,2022-02-05,60H,,8.52,
8,Red Hawk Invite,2022-02-05,HJ,1.61,,
8,John Tierney Classic,2022-01-29,60H,,8.42,
8,John Tierney Classic,2022-01-29,60H,,8.56,
8,John Tierney Classic,2022-01-29,4x400,,3:58.17,
8,John Tierney Classic,2022-01-29,LJ,5.54,,
8,John Tierney Classic,2022-01-29,SP,9.78,,
8,John Gartland Invitational,2022-01-21,60H,,8.53,
8,John Gartland Invitational,2022-01-21,60H,,8.67,
8,John Gartland Invitational,2022-01-21,Pent,,3763,
8,John Gartland Invitational,2022-01-21,60H,,8.56,
8,John Gartland Invitational,2022-01-21,HJ,1.56,,
8,John Gartland Invitational,2022-01-21,SP,9.96,,
8,John Gartland Invitational,2022-01-21,LJ,5.65,,
8,John Gartland Invitational,2022-01-21,800,,2:21.85,
8,Hawkeye Invite,2022-01-14,200,,24.93,
8,Hawkeye Invite,2022-01-14,60H,,8.52,
8,Hawkeye Invite,2022-01-14,60H,,8.61,
8,Hawkeye Invite,2022-01-14,LJ,5.31,,
8,NCAA Division I West Preliminary Round,2021-05-26,400H,,1:00.17,
8,John Kruchoski Open,2021-05-15,400H,,1:00.01,
8,Horizon League Outdoor Track & Field Championships,2021-05-07,100H,,14.04,(1.2)
8,Horizon League Outdoor Track & Field Championships,2021-05-07,400H,,1:01.11,
8,Horizon League Outdoor Track & Field Championships,2021-05-07,4x400,,3:59.43,
8,Horizon League Outdoor Track & Field Championships,2021-05-07,Hep,,4417,
8,Horizon League Outdoor Track & Field Championships,2021-05-07,100H,,14.17,(3.3)
8,Horizon League Outdoor Track & Field Championships,2021-05-07,HJ,1.4,,
8,Horizon League Outdoor Track & Field Championships,2021-05-07,SP,8.83,,
8,Horizon League Outdoor Track & Field Championships,2021-05-07,200,,24.61,(1.5)
8,Horizon League Outdoor Track & Field Championships,2021-05-07,LJ,5.16,,(2.5)
8,Horizon League Outdoor Track & Field Championships,2021-05-07,JT,19.35,,
8,Horizon League Outdoor Track & Field Championships,2021-05-07,800,,2:29.84,
8,Valpo Invitational,2021-05-01,400,,56.00,
8,Valpo Invitational,2021-05-01,100H,,14.39,(2.0)
8,Clark Wood Invitational,2021-04-23,100H,,15.51,(0.4)
8,Clark Wood Invitational,2021-04-23,400H,,1:02.46,
8,Clark Wood Invitational,2021-04-23,JT,21.59,,
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,Hep,,4389,
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,100H,,15.09,(1.6)
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,HJ,1.43,,
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,SP,9.18,,
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,200,,25.15,(2.9)
