athlete_id,season,vertical,slj,stj,sprint_50,ohb,blf,sprint_150
125,2023-24,26.3,,,6.52,11.04,11.84,17.89
128,2023-24,21.8,,,7.1,,,
132,2023-24,24.8,2.29,6.69,7.57,11.46,11.18,
135,2023-24,24.8,2.46,7.17,7.01,10.4,11.11,21.39
137,2023-24,24.9,2.43,7.24,6.98,11.72,12.0,19.39
136,2023-24,29.9,2.54,7.31,6.87,14.09,12.0,19.04
145,2023-24,24.1,2.56,,7.24,,,
149,2023-24,26.2,2.54,6.91,7.15,13.15,12.45,
2,2024-25,,3.29,9.78,,15.18,15.38,
5,2024-25,31.9,2.73,7.47,6.15,12.98,11.67,17.29
15,2024-25,,2.87,,,,,
14,2024-25,32.8,2.76,8.5,6.39,11.45,11.47,19.17
20,2024-25,41.3,3.41,10.04,6.06,15.44,15.06,16.78
27,2024-25,35.7,3.03,8.61,6.2,14.1,12.81,17.23
32,2024-25,39.4,3.27,9.97,6.5,12.71,11.54,
36,2024-25,33.1,3.12,9.11,5.98,13.85,13.64,16.4
41,2024-25,,,,,,,
67,2024-25,35.0,3.09,8.85,5.92,13.77,13.76,
70,2024-25,35.7,3.05,7.82,5.94,13.51,12.45,16.36
75,2024-25,32.0,2.81,8.18,6.25,11.68,9.47,17.94
76,2024-25,34.5,2.95,8.47,6.27,12.21,11.07,17.42
81,2024-25,34.2,3.12,9.14,6.29,14.85,13.68,
86,2024-25,35.7,3.11,9.7,6.22,14.7,13.6,17.22
91,2024-25,34.3,2.8,8.27,6.48,12.06,13.38,18.05
98,2024-25,36.4,3.14,8.65,5.95,13.7,15.1,16.25
100,2024-25,36.6,3.28,9.8,5.92,17.17,16.0,16.49
106,2024-25,28.8,2.85,8.44,6.16,9.88,11.41,16.88
107,2024-25,,,,,,,
108,2024-25,,,,,,,
110,2024-25,31.8,2.87,8.21,,12.08,11.52,
118,2024-25,33.6,2.86,8.74,5.94,15.35,13.76,16.32
122,2024-25,35.3,3.18,8.92,6.1,13.17,14.33,16.38
126,2024-25,39.1,2.96,8.64,6.4,13.55,14.33,
141,2024-25,37.4,3.05,,,14.18,13.11,
143,2024-25,33.5,3.14,9.1,5.98,11.8,12.69,16.84
8,2024-25,,,,,,,
11,2024-25,,,,,,,
16,2024-25,23.9,2.27,6.84,6.79,11.7,11.62,19.26
18,2024-25,26.4,,,7.66,14.03,13.15,
28,2024-25,20.2,2.44,6.7,7.08,11.3,11.8,20.07
35,2024-25,27.3,2.36,6.88,6.74,10.97,11.63,18.57
50,2024-25,25.6,2.34,6.79,6.83,11.6,11.95,19.04
58,2024-25,23.4,2.28,6.12,6.43,7.98,8.77,19.25
64,2024-25,24.9,2.42,7.24,6.96,11.0,11.6,19.86
66,2024-25,21.7,2.25,6.57,7.24,13.96,12.89,20.0
71,2024-25,21.6,2.23,6.24,7.19,,,
73,2024-25,23.6,2.27,6.92,6.92,10.45,11.46,18.71
95,2024-25,28.1,2.7,8.08,6.69,10.31,13.31,19.75
96,2024-25,31.3,,,6.94,14.13,13.51,
99,2024-25,23.3,2.43,6.74,6.96,10.8,11.7,19.56
102,2024-25,27.7,2.45,7.19,6.46,10.94,10.64,18.94
111,2024-25,22.4,2.28,6.62,7.08,10.21,10.66,20.55
114,2024-25,28.7,2.63,7.13,6.85,13.6,10.8,19.28
115,2024-25,23.8,2.45,6.97,7.55,13.5,12.45,
116,2024-25,27.4,2.45,6.83,7.35,12.1,10.14,21.88
120,2024-25,24.4,2.56,7.53,6.73,13.33,13.0,18.17
121,2024-25,26.0,2.42,7.21,7.19,9.63,10.65,21.19
124,2024-25,21.4,2.22,6.14,7.07,9.95,9.53,19.01
125,2024-25,,,,,,,
132,2024-25,26.3,2.22,6.85,7.21,12.43,10.94,
137,2024-25,23.3,2.38,6.96,7.16,13.61,12.03,
144,2024-25,28.0,2.53,6.87,6.61,10.04,11.45,18.74
145,2024-25,23.0,2.51,6.58,7.15,8.54,9.02,19.32
149,2024-25,26.7,2.49,7.1,6.81,14.13,12.44,
6,2025-26,35.0,2.9,8.6,6.09,11.06,10.34,16.44
10,2025-26,34.0,2.73,8.08,6.41,11.55,11.9,17.71
14,2025-26,34.3,2.81,8.83,6.73,12.8,11.58,
15,2025-26,33.7,2.9,8.53,6.3,12.72,12.65,16.73
20,2025-26,40.9,3.2,9.79,6.08,14.68,13.9,
25,2025-26,37.5,2.78,8.22,6.0,11.66,11.03,16.72
27,2025-26,34.7,3.02,8.69,6.28,16.1,13.4,17.34
29,2025-26,34.2,2.79,8.59,6.4,11.77,11.32,17.1
41,2025-26,32.9,2.8,8.44,6.66,11.43,11.5,
48,2025-26,35.3,3.15,9.31,6.32,9.96,11.79,
75,2025-26,31.3,2.83,8.32,6.37,11.38,11.14,
76,2025-26,35.2,2.97,8.48,6.21,12.42,11.78,17.16
91,2025-26,32.7,2.71,8.15,6.81,13.84,11.67,18.59
92,2025-26,36.3,2.91,8.96,6.11,16.18,14.05,16.56
93,2025-26,33.6,2.89,8.51,,10.17,8.89,
100,2025-26,,,,6.0,16.75,15.68,
105,2025-26,38.7,2.92,8.67,6.0,14.01,13.7,16.49
106,2025-26,31.9,2.74,8.71,6.27,10.44,12.44,16.61
107,2025-26,,,,,,,
108,2025-26,,,,,,,
127,2025-26,23.2,2.24,6.42,7.2,10.11,10.34,19.82
126,2025-26,39.3,2.99,8.84,6.46,14.14,14.25,
134,2025-26,37.5,3.03,8.9,6.28,12.87,11.95,16.96
141,2025-26,37.3,3.06,9.2,6.1,15.28,13.51,16.55
147,2025-26,35.8,3.04,8.6,6.13,13.64,12.25,16.9
8,2025-26,,,,,,,
11,2025-26,,,,,12.73,12.37,
16,2025-26,25.1,2.36,7.09,6.75,11.1,11.45,18.89
28,2025-26,20.1,2.3,6.82,7.1,11.07,11.06,20.06
35,2025-26,27.2,2.41,6.67,6.86,11.47,11.17,18.4
50,2025-26,25.2,2.39,6.76,7.078,12.1,11.83,19.04
51,2025-26,24.4,2.35,6.67,7.35,10.87,9.94,
55,2025-26,24.1,2.16,6.51,7.2,8.13,9.66,20.07
62,2025-26,24.0,2.59,6.83,7.44,11.63,11.35,20.63
71,2025-26,22.5,2.27,6.38,7.31,,,
73,2025-26,,2.44,7.2,,,11.3,18.69
82,2025-26,,,,,9.64,10.1,
96,2025-26,31.3,2.73,7.79,7.53,12.63,12.92,
99,2025-26,26.8,2.49,6.92,6.76,10.97,11.14,19.06
102,2025-26,28.4,2.48,7.01,6.64,11.37,10.65,18.85
114,2025-26,29.4,2.51,7.13,7.12,13.77,12.48,19.86
115,2025-26,,2.45,,,12.68,12.58,
116,2025-26,25.9,2.44,6.73,7.57,12.01,9.4,21.19
117,2025-26,,,,,,,
120,2025-26,24.9,2.56,7.7,6.66,14.23,12.75,17.78
121,2025-26,,,,,11.2,10.19,
124,2025-26,22.3,2.29,6.4,7.01,9.14,9.17,19.05
132,2025-26,26.4,2.38,6.95,7.35,13.62,12.3,
137,2025-26,25.7,2.38,6.94,6.94,13.54,12.21,19.42
144,2025-26,26.7,2.32,,6.87,12.4,11.56,19.17
145,2025-26,19.9,2.37,,7.18,10.53,10.7,19.4
146,2025-26,25.0,2.46,6.97,7.18,10.09,10.12,20.0
149,2025-26,28.4,2.52,7.13,7.06,14.6,11.98,
